Date,Sale ID,Customer Name,Product,Amount,Status,Payment Method,Error/Refund Reason,56456
2024-12-24,S1002,Customer 3,Widget C,300,Error,PayPal,Payment timeout,
2024-12-24,S1025,Customer 26,Widget A,100,Completed,PayPal,,
2024-12-24,S1039,Customer 40,Widget A,200,Error,Debit Card,Authorization failed,
2024-12-25,S1053,Customer 54,Widget B,300,Completed,Debit Card,,
2024-12-25,S1068,Customer 69,Widget A,200,Completed,PayPal,,
2024-12-25,S1080,Customer 81,Widget C,300,Completed,Credit Card,,
2024-12-26,S1009,Customer 10,Widget E,150,Completed,PayPal,,
2024-12-26,S1060,Customer 61,Widget E,250,Completed,PayPal,,
2024-12-28,S1083,Customer 84,Widget C,300,Completed,PayPal,,
2024-12-29,S1067,Customer 68,Widget E,300,Completed,Debit Card,,
2024-12-30,S1011,Customer 12,Widget B,200,Refund,PayPal,Duplicate charge,
2025-01-02,S1046,Customer 47,Widget C,250,Refund,Credit Card,Product defect,
2025-01-02,S1072,Customer 73,Widget A,250,Completed,PayPal,,
2025-01-05,S1014,Customer 15,Widget E,250,Completed,PayPal,,
2025-01-06,S1016,Customer 17,Widget B,250,Completed,Debit Card,,
2025-01-06,S1043,Customer 44,Widget A,200,Completed,Credit Card,,
2025-01-07,S1000,Customer 1,Widget D,200,Completed,Credit Card,,
2025-01-07,S1035,Customer 36,Widget E,200,Completed,Credit Card,,
2025-01-09,S1001,Customer 2,Widget B,250,Completed,Debit Card,,
2025-01-10,S1066,Customer 67,Widget A,150,Completed,Debit Card,,
2025-01-10,S1076,Customer 77,Widget D,250,Completed,Credit Card,,
2025-01-13,S1036,Customer 37,Widget D,300,Completed,Debit Card,,
2025-01-13,S1037,Customer 38,Widget A,200,Completed,PayPal,,
2025-01-14,S1024,Customer 25,Widget A,150,Completed,PayPal,,
2025-01-14,S1026,Customer 27,Widget B,100,Completed,Debit Card,,
2025-01-15,S1033,Customer 34,Widget B,200,Completed,Credit Card,,
2025-01-17,S1058,Customer 59,Widget A,300,Completed,Credit Card,,
2025-01-18,S1027,Customer 28,Widget C,250,Completed,PayPal,,
2025-01-20,S1085,Customer 86,Widget C,100,Refund,Credit Card,Incorrect amount charged,
2025-01-24,S1042,Customer 43,Widget A,250,Completed,Debit Card,,
2025-01-24,S1050,Customer 51,Widget E,100,Completed,Credit Card,,
2025-01-24,S1055,Customer 56,Widget C,300,Error,Credit Card,Network error,
2025-01-26,S1057,Customer 58,Widget C,150,Completed,PayPal,,
2025-01-26,S1079,Customer 80,Widget E,200,Completed,PayPal,,
2025-01-27,S1007,Customer 8,Widget D,100,Completed,Debit Card,,
2025-01-30,S1020,Customer 21,Widget B,150,Completed,Debit Card,,
2025-01-30,S1029,Customer 30,Widget C,200,Completed,PayPal,,
